grade,item_id,difficulty,free_est
11,E11RL1H10,-0.64,-0.19090000000000001
11,E11WR4H12,0.56,1.3612000000000002
11,E11RI1H11,0.66,1.4495
11,E11WR1H12,1.46,0.7043999999999999
3,E03WR4HSAMPLE,0.54,1.6679
3,E03WR4H09,0.59,1.5591
4,E04WR4H11,0.62,1.5248
4,E04WR5H09,1.23,0.02200000000000002
4,E04WR4H09,1.81,2.8680000000000003
5,E05RI3M07,0.82,0.18609999999999993
5,E05RL2H10,1.49,0.8548
5,E05WR4H14,1.94,2.4522
6,E06WR4HSAMPLE,0.66,1.4539
6,E06LA4M06,0.93,0.3591000000000001
6,E06WR4H09,1.25,1.9049
6,E06LA1M05,1.28,0.7238
7,E07WR9L01,-0.7,-0.11499999999999999
7,E07WR4H12,1.16,1.6296
7,E07LA2H09,1.18,0.7410999999999999
8,E08LA1L04,-0.72,-1.763
